BusinessName,LicenseNumber,LicenseType,ServiceStreet,ServiceStreet2,ServiceUnitType,ServiceUnit,ServiceCity,ServiceCounty,ServiceState,ServiceZip,ServiceCountry,IssuedDate,MailingStreet,MailingStreet2,MailingUnitType,MailingUnit,MailingCity,MailingCounty,MailingState,MailingZip,MailingCountry
DELTA GALIL USA INC,1107999,TPS,1501 W 3RD ST  ,,,,WILLIAMSPORT,LYCOMING,PA,177017814,USA,2015-12-18 00:00:00,,,,,,,,,
HOWE & KOLODZIEJ CPA'S,1027889,BOP,8580 E SHEA BLVD STE 120,,STE,120,SCOTTSDALE,MARICOPA,AZ,852606681,USA,2017-12-07 00:00:00,,,,,,,,,
MACMEDIA INC,0878174,TPS,6928 E 5TH AVE STE 1,,STE,1,SCOTTSDALE,MARICOPA,AZ,852513843,USA,2015-12-16 00:00:00,9950 W VAN BUREN ST STE 121,,STE,121,AVONDALE,MARICOPA,AZ,853235322,USA
TERRY AND LYNETTE D BEETS TRUS,1121719,TPS,9355 N 91ST ST UNIT 126,,UNIT,126,SCOTTSDALE,MARICOPA,AZ,852585004,USA,2015-12-30 00:00:00,4545 E SHEA BLVD STE 200,,STE,200,PHOENIX,MARICOPA,AZ,850283076,USA
DIAMOND CLEANERS,1123052,BOP,2765 N SCOTTSDALE RD STE 113,,STE,113,SCOTTSDALE,MARICOPA,AZ,852571366,USA,2017-12-05 00:00:00,,,,,,,,,
GC GLOBAL CAPITAL INC,1100325,BOP,10565 N 114TH ST STE 102,,STE,102,SCOTTSDALE,MARICOPA,AZ,852594942,USA,2017-12-18 00:00:00,11962 E DEL TIMBRE DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852596337,USA
VARSITY SPIRIT FASHIONS,0123546,TPS,6745 LENOX CENTER CT STE 300,,STE,300,MEMPHIS,SHELBY,TN,381154300,USA,2016-01-04 00:00:00,PO BOX 751210  ,,,,MEMPHIS,SHELBY,TN,381751210,USA
NORI SUSHI,1107644,TPS,10115 E BELL RD STE 109,,STE,109,SCOTTSDALE,MARICOPA,AZ,852602189,USA,2015-12-23 00:00:00,,,,,,,,,
DREWETT WORKS,1108005,BOP,7144 E STETSON DR STE 204,,STE,204,SCOTTSDALE,MARICOPA,AZ,852513273,USA,2017-12-05 00:00:00,,,,,,,,,
PEAK CONTRACTING LLC,1081889,TPS,7314 E ROVEY AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852505531,USA,2015-11-21 00:00:00,,,,,,,,,
LA FONDA DEL SOL,0140377,TPS,7223 E SHEA BLVD  ,,,,SCOTTSDALE,MARICOPA,AZ,852606423,USA,2015-12-08 00:00:00,9393 N 90TH ST STE 207,,STE,207,SCOTTSDALE,MARICOPA,AZ,852585043,USA
SPROUTS FARMERS MARKET #19,0904460,TPS,4402 N MILLER RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852513604,USA,2015-12-16 00:00:00,5455 E HIGH ST STE 111,,STE,111,PHOENIX,MARICOPA,AZ,850545464,USA
SMALL JOBS LLC,1046377,TPS,11280 N 100TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852606329,USA,2016-01-06 00:00:00,,,,,,,,,
ANACOSTA APARTMENTS AT MCCORMI,1063121,TPS,9750 N 96TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852585293,USA,2015-12-14 00:00:00,23330 MILL CREEK DR STE 100,,STE,100,LAGUNA HILLS,ORANGE,CA,926531633,USA
SFE 2 LLC,1126749,TPS,6500 SPRINT PKWY  ,,,,OVERLAND PARK,JOHNSON,KS,662516108,USA,2016-11-30 00:00:00,6200 SPRINT PKWY 2BTTX  ,,,,LEAWOOD,JOHNSON,KS,662111158,USA
MARK TAYLOR DEVELOPMENT INC,0122814,TPS,6623 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852504421,USA,2015-12-14 00:00:00,,,,,,,,,
BANK OF THE WEST,1089458,BOP,7272 E INDIAN SCHOOL RD STE 210,,STE,210,SCOTTSDALE,MARICOPA,AZ,852513970,USA,2018-01-09 00:00:00,PO BOX 5155  ,,,,SAN RAMON,CONTRA COSTA,CA,945835155,USA
PURE LIFE JEWELRY,1115879,TPS,1538 E BIRDLAND DR  ,,,,GILBERT,MARICOPA,AZ,852976816,USA,2016-05-09 00:00:00,,,,,,,,,
VERIZON WIRELESS,1095766,TPS,7135 E CAMELBACK RD STE 135,,STE,135,SCOTTSDALE,MARICOPA,AZ,852511282,USA,2015-12-09 00:00:00,PO BOX 8000  ,,,,MONSEY,ROCKLAND,NY,109528505,USA
DUNKIN DONUTS,1061290,TPS,11218 N FRANK LLOYD WRIGHT BLVD STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852592644,USA,2015-12-16 00:00:00,450 N MCCLINTOCK DR STE 102,,STE,102,CHANDLER,MARICOPA,AZ,852262562,USA
PALAZZOTO,1116638,TPS,3031 N CIVIC CENTER PLZ UNIT 127,,UNIT,127,SCOTTSDALE,MARICOPA,AZ,852517903,USA,2015-05-22 00:00:00,2500 S POWER RD STE 121,,STE,121,MESA,MARICOPA,AZ,852096688,USA
